Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2015-01-02;3.5725;4.3078;3.5833
2015-01-05;3.5975;4.3008;3.5792
2015-01-07;3.6375;4.3115;3.5898
2015-01-08;3.6482;4.2985;3.5792
2015-01-09;3.6252;4.2837;3.5663
2015-01-12;3.6218;4.2782;3.5623
2015-01-13;3.6252;4.2802;3.5639
2015-01-14;3.6525;4.2885;3.5712
2015-01-15;3.6588;4.2897;4.1611
2015-01-16;3.7174;4.322;4.255
2015-01-19;3.7176;4.3165;4.2901
2015-01-20;3.7346;4.3335;4.2697
2015-01-21;3.7358;4.3218;4.316
2015-01-22;3.6994;4.2997;4.3092
2015-01-23;3.7687;4.2354;4.3223
2015-01-26;3.7601;4.2293;4.2448
2015-01-27;3.7348;4.2285;4.1357
2015-01-28;3.7276;4.2348;4.1335
2015-01-29;3.7418;4.2344;4.1007
2015-01-30;3.7204;4.2081;4.0179
2015-02-02;3.6801;4.1762;3.9555
2015-02-03;3.6886;4.1812;3.9834
2015-02-04;3.644;4.1712;3.9375
2015-02-05;3.6656;4.1739;3.9541
2015-02-06;3.6395;4.1695;3.954
2015-02-09;3.6811;4.176;3.9861
2015-02-10;3.722;4.2017;4.0192
2015-02-11;3.7094;4.1999;4.0068
2015-02-12;3.6926;4.1884;3.9706
2015-02-13;3.6552;4.1783;3.9383
2015-02-16;3.6665;4.1812;3.9364
2015-02-17;3.6788;4.1904;3.9369
2015-02-18;3.6784;4.1905;3.9167
2015-02-19;3.6631;4.177;3.8818
2015-02-20;3.6895;4.18;3.8781
2015-02-23;3.6933;4.1777;3.8842
2015-02-24;3.6948;4.1763;3.8909
2015-02-25;3.6649;4.1668;3.8653
2015-02-26;3.6519;4.1542;3.8628
2015-02-27;3.698;4.1495;3.8919
2015-03-02;3.7053;4.1559;3.8742
2015-03-03;3.719;4.1557;3.8728
2015-03-04;3.7485;4.1723;3.893
2015-03-05;3.7525;4.1415;3.8735
2015-03-06;3.7649;4.1292;3.8535
2015-03-09;3.789;4.1259;3.8531
2015-03-10;3.8345;4.1233;3.8525
2015-03-11;3.9091;4.1435;3.8888
2015-03-12;3.8928;4.1251;3.8781
2015-03-13;3.9141;4.1529;3.894
2015-03-16;3.926;4.1373;3.9116
2015-03-17;3.9034;4.1397;3.8971
2015-03-18;3.9073;4.145;3.896
