Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2022-01-03;4.0424;4.5889;4.4326
2022-01-04;4.0468;4.5737;4.409
2022-01-05;4.0396;4.5672;4.4106
2022-01-07;4.0279;4.5576;4.372
2022-01-10;4.0064;4.5377;4.35
2022-01-11;4.0106;4.5454;4.33
2022-01-12;3.9879;4.5332;4.3192
2022-01-13;3.9463;4.527;4.3244
2022-01-14;3.9597;4.5372;4.3466
2022-01-17;3.9567;4.5201;4.331
2022-01-18;3.9734;4.5275;4.3436
2022-01-19;3.993;4.5279;4.3594
2022-01-20;3.9833;4.5201;4.3511
2022-01-21;3.9953;4.5303;4.3786
2022-01-24;4.0049;4.5358;4.3932
2022-01-25;4.0593;4.5821;4.4161
2022-01-26;4.0684;4.592;4.4211
2022-01-27;4.083;4.5713;4.4029
2022-01-28;4.1048;4.5697;4.4086
2022-01-31;4.1147;4.5982;4.4156
2022-02-01;4.0689;4.582;4.4087
2022-02-02;4.0283;4.55;4.379
2022-02-03;4.0267;4.5439;4.3656
2022-02-04;3.9657;4.5459;4.3046
2022-02-07;3.9872;4.555;4.3112
2022-02-08;3.9693;4.5274;4.2973
2022-02-09;3.953;4.5167;4.2798
2022-02-10;3.9218;4.4879;4.2465
2022-02-11;3.9665;4.5163;4.2754
2022-02-14;4.0439;4.5743;4.375
2022-02-15;3.974;4.5091;4.2954
2022-02-16;3.9478;4.4916;4.2706
2022-02-17;3.9687;4.5088;4.307
2022-02-18;3.9798;4.5256;4.3233
2022-02-21;3.9769;4.5193;4.3328
2022-02-22;4.012;4.5416;4.3676
2022-02-23;3.9937;4.5352;4.3401
2022-02-24;4.1281;4.6284;4.4808
2022-02-25;4.1683;4.6608;4.5001
2022-02-28;4.1965;4.6909;4.5483
2022-03-01;4.2193;4.7241;4.6037
2022-03-02;4.3302;4.7989;4.7212
2022-03-03;4.3257;4.7931;4.7028
2022-03-04;4.391;4.8363;4.7787
2022-03-07;4.5722;4.9647;4.9452
2022-03-08;4.5115;4.9121;4.8579
2022-03-09;4.4147;4.8429;4.758
2022-03-10;4.3482;4.8013;4.6917
2022-03-11;4.3694;4.7924;4.689
2022-03-14;4.3221;4.7465;4.631
2022-03-15;4.2992;4.7311;4.5793
2022-03-16;4.2828;4.7055;4.555
2022-03-17;4.2403;4.6876;4.5127
2022-03-18;4.2707;4.7221;4.5701
2022-03-21;4.2444;4.693;4.5614
2022-03-22;4.272;4.6975;4.5644
2022-03-23;4.2772;4.7036;4.5722
2022-03-24;4.331;4.7589;4.6412
2022-03-25;4.3125;4.7459;4.6528
2022-03-28;4.2784;4.702;4.5697
2022-03-29;4.2917;4.7144;4.5809
2022-03-30;4.1688;4.6507;4.5045
2022-03-31;4.1801;4.6525;4.5207
2022-04-01;4.1978;4.6428;4.5431
2022-04-04;4.2073;4.6373;4.539
2022-04-05;4.2233;4.6317;4.559
2022-04-06;4.2606;4.6539;4.5691
2022-04-07;4.2727;4.6478;4.5793
2022-04-08;4.2703;4.6405;4.5663
2022-04-11;4.2586;4.6451;4.5574
2022-04-12;4.2926;4.6626;4.6005
2022-04-13;4.2872;4.646;4.6016
2022-04-14;4.2581;4.6447;4.5539
2022-04-15;4.2865;4.6378;4.5493
2022-04-19;4.2887;4.6361;4.533
2022-04-20;4.2708;4.6295;4.5049
2022-04-21;4.2596;4.6523;4.4913
2022-04-22;4.2935;4.6361;4.493
2022-04-25;4.3188;4.6405;4.5047
2022-04-26;4.3469;4.6429;4.5294
2022-04-27;4.4453;4.7076;4.6042
2022-04-28;4.4613;4.6915;4.5921
2022-04-29;4.4072;4.6582;4.5504
2022-05-02;4.4454;4.6806;4.576
2022-05-04;4.4456;4.6777;4.5333
2022-05-05;4.4017;4.6658;4.4995
2022-05-06;4.4502;4.6979;4.5196
2022-05-09;4.4784;4.7059;4.5074
2022-05-10;4.4223;4.6761;4.4528
2022-05-11;4.419;4.67;4.47
2022-05-12;4.4863;4.6841;4.502
2022-05-13;4.4849;4.6679;4.4843
2022-05-16;4.4785;4.6724;4.4582
2022-05-17;4.4379;4.6558;4.4542
2022-05-18;4.4279;4.6528;4.4395
2022-05-19;4.4231;4.6429;4.5303
2022-05-20;4.3832;4.6366;4.5061
2022-05-23;4.3369;4.6171;4.4755
2022-05-24;4.3071;4.6107;4.4723
2022-05-25;4.3069;4.5955;4.4727
2022-05-26;4.3189;4.6135;4.5003
2022-05-27;4.2966;4.6102;4.4814
2022-05-30;4.2617;4.5869;4.4544
2022-05-31;4.2651;4.5756;4.4387
2022-06-01;4.2817;4.5891;4.4531
2022-06-02;4.2931;4.5876;4.4689
2022-06-03;4.2689;4.5908;4.4547
