Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2012-01-02;3.4454;4.464;3.6668
2012-01-03;3.4277;4.4597;3.6622
2012-01-04;3.432;4.4753;3.6714
2012-01-05;3.5081;4.5135;3.7037
2012-01-09;3.515;4.4902;3.694
2012-01-10;3.5083;4.4883;3.7015
2012-01-11;3.4919;4.4645;3.6807
2012-01-12;3.4945;4.4532;3.6756
2012-01-13;3.4323;4.404;3.6376
2012-01-16;3.4798;4.4056;3.6443
2012-01-17;3.4215;4.3708;3.6136
2012-01-18;3.4;4.3491;3.5959
2012-01-19;3.3678;4.3391;3.5912
2012-01-20;3.3537;4.326;3.5819
2012-01-23;3.3353;4.3111;3.5707
2012-01-24;3.297;4.2885;3.5545
2012-01-25;3.299;4.2855;3.5453
2012-01-26;3.2233;4.2431;3.5147
2012-01-27;3.2163;4.2223;3.4966
2012-01-30;3.2433;4.2589;3.5335
2012-01-31;3.2032;4.227;3.5054
2012-02-01;3.1913;4.1933;3.4824
2012-02-02;3.1955;4.1995;3.4861
2012-02-03;3.1848;4.1932;3.4784
2012-02-06;3.2084;4.1837;3.4695
2012-02-07;3.1806;4.1818;3.4633
2012-02-08;3.1461;4.171;3.4431
2012-02-09;3.1487;4.1769;3.4507
2012-02-10;3.1703;4.2048;3.4752
2012-02-13;3.1643;4.1948;3.4692
2012-02-14;3.1801;4.1935;3.4701
2012-02-15;3.166;4.1695;3.4523
2012-02-16;3.2502;4.2276;3.5027
2012-02-17;3.179;4.184;3.4654
2012-02-20;3.1598;4.1775;3.4565
2012-02-21;3.1488;4.1735;3.4547
2012-02-22;3.1635;4.1857;3.4663
2012-02-23;3.138;4.181;3.4676
2012-02-24;3.1103;4.1654;3.4543
2012-02-27;3.1176;4.1845;3.473
2012-02-28;3.0977;4.163;3.4535
2012-02-29;3.073;4.1365;3.4318
2012-03-01;3.0887;4.1198;3.4178
2012-03-02;3.1023;4.1125;3.4119
2012-03-05;3.1355;4.1345;3.429
2012-03-06;3.1557;4.157;3.4472
2012-03-07;3.1631;4.1578;3.4492
2012-03-08;3.122;4.1255;3.4224
2012-03-09;3.1126;4.1143;3.4125
2012-03-12;3.1285;4.1062;3.4055
2012-03-13;3.1288;4.1132;3.4103
2012-03-14;3.1699;4.1395;3.4195
2012-03-15;3.1723;4.142;3.421
2012-03-16;3.1688;4.1367;3.426
2012-03-19;3.1361;4.127;3.4205
2012-03-20;3.1288;4.1282;3.4221
2012-03-21;3.1173;4.1364;3.4306
2012-03-22;3.168;4.1694;3.4588
2012-03-23;3.1417;4.1649;3.4548
2012-03-26;3.1348;4.1409;3.436
2012-03-27;3.0939;4.13;3.4236
2012-03-28;3.11;4.1503;3.4415
2012-03-29;3.1234;4.16;3.451
2012-03-30;3.1191;4.1616;3.454
2012-04-02;3.1017;4.1428;3.4401
2012-04-03;3.099;4.1327;3.4335
2012-04-04;3.1503;4.1495;3.4449
2012-04-05;3.1678;4.1544;3.4526
2012-04-06;3.1814;4.1565;3.4584
2012-04-10;3.1904;4.1756;3.4732
2012-04-11;3.2034;4.2008;3.4966
2012-04-12;3.1818;4.174;3.4728
2012-04-13;3.1765;4.1779;3.4765
2012-04-16;3.2289;4.2028;3.494
2012-04-17;3.1872;4.19;3.4872
2012-04-18;3.1902;4.176;3.4738
2012-04-19;3.1879;4.1865;3.4837
2012-04-20;3.1828;4.1885;3.4853
2012-04-23;3.1972;4.2033;3.4991
2012-04-24;3.1946;4.2059;3.4992
2012-04-25;3.1675;4.187;3.4841
2012-04-26;3.1599;4.1825;3.4809
2012-04-27;3.1666;4.182;3.482
2012-04-30;3.1509;4.1721;3.4731
2012-05-02;3.1593;4.16;3.4625
2012-05-04;3.1891;4.188;3.4861
2012-05-07;3.2279;4.1991;3.4959
2012-05-08;3.2238;4.1949;3.493
2012-05-09;3.2412;4.2047;3.5014
2012-05-10;3.2735;4.2379;3.5286
2012-05-11;3.2765;4.2413;3.5313
2012-05-14;3.3422;4.3;3.5808
2012-05-15;3.3579;4.316;3.5932
2012-05-16;3.4353;4.3682;3.6371
2012-05-17;3.4194;4.349;3.621
2012-05-18;3.4431;4.3683;3.6371
2012-05-21;3.3928;4.3322;3.607
2012-05-22;3.3811;4.3205;3.5973
2012-05-23;3.446;4.3576;3.6285
2012-05-24;3.4779;4.3665;3.6357
2012-05-25;3.4589;4.351;3.6206
2012-05-28;3.4535;4.3442;3.6126
2012-05-29;3.4675;4.3511;3.6203
2012-05-30;3.5139;4.3731;3.6411
2012-05-31;3.5372;4.3889;3.6545
2012-06-01;3.5777;4.4126;3.6743
2012-06-04;3.5431;4.4007;3.6651
2012-06-05;3.5359;4.3922;3.657
2012-06-06;3.4703;4.3423;3.6159
2012-06-08;3.4566;4.3078;3.587
2012-06-11;3.4072;4.2922;3.5734
2012-06-12;3.4552;4.3222;3.5987
2012-06-13;3.4591;4.331;3.6057
2012-06-14;3.442;4.3207;3.5977
2012-06-15;3.3971;4.2925;3.574
2012-06-18;3.3741;4.268;3.5536
2012-06-19;3.3916;4.2733;3.5586
2012-06-20;3.3471;4.2503;3.5397
2012-06-21;3.3617;4.2585;3.5459
2012-06-22;3.4025;4.271;3.5564
2012-06-25;3.4105;4.2645;3.5511
2012-06-26;3.4088;4.258;3.5463
2012-06-27;3.4015;4.25;3.5387
2012-06-28;3.4408;4.276;3.5605
2012-06-29;3.3885;4.2613;3.5477
2012-07-02;3.3456;4.2308;3.5217
2012-07-03;3.3427;4.211;3.5052
2012-07-04;3.3415;4.2046;3.5005
2012-07-05;3.3743;4.2221;3.5142
2012-07-06;3.4057;4.2178;3.5119
2012-07-09;3.4538;4.2401;3.5305
2012-07-10;3.4145;4.2041;3.5004
2012-07-11;3.4007;4.1801;3.4807
2012-07-12;3.4383;4.2008;3.4979
2012-07-13;3.4463;4.2055;3.5018
2012-07-16;3.4353;4.1939;3.4924
2012-07-17;3.3973;4.1782;3.4791
2012-07-18;3.395;4.1705;3.473
2012-07-19;3.39;4.1596;3.463
2012-07-20;3.3961;4.1629;3.4662
2012-07-23;3.4529;4.18;3.4809
2012-07-24;3.4678;4.2011;3.499
2012-07-25;3.4719;4.2087;3.5043
2012-07-26;3.4523;4.1853;3.4847
2012-07-27;3.3843;4.1459;3.4523
2012-07-30;3.378;4.1411;3.4475
2012-07-31;3.3508;4.1086;3.4206
2012-08-01;3.342;4.1147;3.4253
2012-08-02;3.3462;4.1063;3.4161
2012-08-03;3.3548;4.0967;3.4108
2012-08-06;3.2752;4.0486;3.3709
2012-08-07;3.2606;4.0465;3.3675
2012-08-08;3.304;4.0918;3.4074
2012-08-09;3.2915;4.0615;3.3816
2012-08-10;3.3195;4.0771;3.3949
